start	end	duration	path	overlap_list
1448020708.91	1448020850.92	142.014584	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-12-58-28_0.bag	[]
1448020864.16	1448021177.5	313.34502	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-01-04_0.bag	[]
1448021180.71	1448021768.1	587.391419	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-06-20_0.bag	[]
1448021875.45	1448022232.03	356.578601	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-17-55_0.bag	[]
1448022250.16	1448022257.69	7.527772	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-24-10_0.bag	[]
1448022260.64	1448022311.52	50.878989	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-24-20_0.bag	[]
1448022328.8	1448022366.13	37.334988	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm3w_2015-11-20-13-25-28_0.bag	[]
1448022395.35	1448022428.21	32.857917	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-13-26-35_0.bag	[]
1448026920.25	1448026961.43	41.182026	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-42-00_0.bag	[]
1448026964.62	1448026983.33	18.705537	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-42-44_0.bag	[]
1448026987.79	1448027393.73	405.938166	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-43-07_0.bag	[]
1448027396.72	1448027437.71	40.989973	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-49-56_0.bag	[]
1448027440.6	1448027444.49	3.890908	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-50-40_0.bag	[]
1448027447.61	1448027459.9	12.296651	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-50-47_0.bag	[]
1448027462.58	1448027475.65	13.067935	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-51-02_0.bag	[]
1448027492.85	1448027503.43	10.577867	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-51-32_0.bag	[]
1448027514.51	1448027524.22	9.706622	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-51-54_0.bag	[]
1448027527.15	1448027608.17	81.023613	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-52-07_0.bag	[]
1448027612.54	1448027631.98	19.440597	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-53-32_0.bag	[]
1448027655.64	1448027662.79	7.156358	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-54-15_0.bag	[]
1448027678.62	1448027694.03	15.413554	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-54-38_0.bag	[]
1448027696.87	1448027724.11	27.240204	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-54-56_0.bag	[]
1448027733.3	1448027737.47	4.160942	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-55-33_0.bag	[]
1448027740.36	1448027835.58	95.218406	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-55-40_0.bag	[]
1448027855.84	1448027861.43	5.590819	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-57-35_0.bag	[]
1448027864.09	1448027902.11	38.015749	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-57-44_0.bag	[]
1448027934.22	1448028005.83	71.613626	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-14-58-54_0.bag	[]
1448028010.61	1448028019.02	8.406235	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-00-10_0.bag	[]
1448028024.06	1448028035.96	11.894031	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-00-24_0.bag	[]
1448028301.53	1448028304.61	3.081842	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-05-01_0.bag	[]
1448028403.34	1448028530.48	127.146715	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-06-43_0.bag	[]
1448028773.39	1448029293.29	519.904959	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-12-53_0.bag	[]
1448030475.17	1448030527.52	52.351004	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-41-15_0.bag	[]
1448030534.68	1448030767.95	233.266166	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-42-14_0.bag	[]
1448030773.37	1448030805.07	31.697122	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-46-13_0.bag	[]
1448030810.36	1448030815.45	5.086389	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-46-50_0.bag	[]
1448030821.37	1448030881.52	60.147192	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-47-01_0.bag	[]
1448031537.43	1448032224.89	687.456775	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-15-58-57_0.bag	[]
1448032229.4	1448032244.49	15.089456	/media/enrico/RoCKIn@Home/RoCKIn/RoCKIn_Competition_2015/RoAW/benchmarking_logging/log_fbm1w_2015-11-20-16-10-29_0.bag	[]
